index,x,y,dx,dy
a-165.6x-172.8,-165.6,-172.8,-8.3579956,3.8410065
a-162x-172.8,-162,-172.8,-8.552002,3.7879974
a-158.4x-172.8,-158.4,-172.8,-8.7439941,3.7319977
a-154.8x-172.8,-154.8,-172.8,-8.9329956,3.6730072
a-151.2x-172.8,-151.2,-172.8,-9.1190063,3.604007
a-147.6x-172.8,-147.6,-172.8,-9.3019958,3.5289948
a-144x-172.8,-144,-172.8,-9.4830017,3.4510071
a-140.4x-172.8,-140.4,-172.8,-9.6619934,3.3699982
a-136.8x-172.8,-136.8,-172.8,-9.8400009,3.2820007
a-133.2x-172.8,-133.2,-172.8,-10.0130035,3.1859924
a-129.6x-172.8,-129.6,-172.8,-10.1820007,3.0890076
a-126x-172.8,-126,-172.8,-10.3460007,2.9929993
a-122.4x-172.8,-122.4,-172.8,-10.5200027,2.9140045
a-118.8x-172.8,-118.8,-172.8,-10.701001,2.7910034
a-115.2x-172.8,-115.2,-172.8,-10.8520004,2.6440002
a-111.6x-172.8,-111.6,-172.8,-11.0049988,2.5099976
a-108x-172.8,-108,-172.8,-11.1542969,2.3759949
a-104.4x-172.8,-104.4,-172.8,-11.2972015,2.2429993
a-100.8x-172.8,-100.8,-172.8,-11.4343002,2.0990021
a-97.2x-172.8,-97.2,-172.8,-11.5660965,1.9480011
a-93.6x-172.8,-93.6,-172.8,-11.693399,1.798999
a-90x-172.8,-90,-172.8,-11.8128967,1.6600067
a-86.4x-172.8,-86.4,-172.8,-11.9277023,1.476001
a-82.8x-172.8,-82.8,-172.8,-12.0455978,1.2980072
a-79.2x-172.8,-79.2,-172.8,-12.1515991,1.1340057
a-75.6x-172.8,-75.6,-172.8,-12.249601,0.9610016
a-72x-172.8,-72,-172.8,-12.3400993,0.7769958
a-68.4x-172.8,-68.4,-172.8,-12.4224991,0.5860016
a-64.8x-172.8,-64.8,-172.8,-12.4996002,0.3929932
a-61.2x-172.8,-61.2,-172.8,-12.5694992,0.1929962
a-57.6x-172.8,-57.6,-172.8,-12.6321007,-0.0089996
a-54x-172.8,-54,-172.8,-12.6852989,-0.2149933
a-50.4x-172.8,-50.4,-172.8,-12.7272018,-0.4300049
a-46.8x-172.8,-46.8,-172.8,-12.7620018,-0.6500061
a-43.2x-172.8,-43.2,-172.8,-12.7888004,-0.8690002
a-39.6x-172.8,-39.6,-172.8,-12.8038002,-1.0940063
a-36x-172.8,-36,-172.8,-12.8075008,-1.3269928
a-32.4x-172.8,-32.4,-172.8,-12.8027004,-1.5590027
a-28.8x-172.8,-28.8,-172.8,-12.7859009,-1.7949951
a-25.2x-172.8,-25.2,-172.8,-12.7587997,-2.0279968
a-21.6x-172.8,-21.6,-172.8,-12.7197004,-2.2640045
a-18x-172.8,-18,-172.8,-12.6704702,-2.5030029
a-14.4x-172.8,-14.4,-172.8,-12.6095,-2.7429932
a-10.8x-172.8,-10.8,-172.8,-12.53646,-2.9779938
a-7.2x-172.8,-7.2,-172.8,-12.4528501,-3.2109955
a-3.6x-172.8,-3.6,-172.8,-12.3574501,-3.4439972
a0x-172.8,0,-172.8,-12.2510004,-3.6769989
a3.6x-172.8,3.6,-172.8,-12.1319002,-3.9040039
a7.2x-172.8,7.2,-172.8,-12.0026997,-4.1300018
a10.8x-172.8,10.8,-172.8,-11.8618004,-4.3559998
a14.4x-172.8,14.4,-172.8,-11.7114006,-4.576001
a18x-172.8,18,-172.8,-11.5505009,-4.7850006
a21.6x-172.8,21.6,-172.8,-11.3790993,-4.9869965
a25.2x-172.8,25.2,-172.8,-11.1978004,-5.1869934
a28.8x-172.8,28.8,-172.8,-11.0083992,-5.3879974
a32.4x-172.8,32.4,-172.8,-10.8094994,-5.5830048
a36x-172.8,36,-172.8,-10.6015015,-5.770993
a39.6x-172.8,39.6,-172.8,-10.3860992,-5.9470032
a43.2x-172.8,43.2,-172.8,-10.1619995,-6.1170013
a46.8x-172.8,46.8,-172.8,-9.9313995,-6.2799957
a50.4x-172.8,50.4,-172.8,-9.6950012,-6.4329956
a54x-172.8,54,-172.8,-9.4502983,-6.576001
a57.6x-172.8,57.6,-172.8,-9.1984009,-6.7080048
a61.2x-172.8,61.2,-172.8,-8.9445007,-6.8339966
a64.8x-172.8,64.8,-172.8,-8.6861984,-6.9519928
a68.4x-172.8,68.4,-172.8,-8.4203964,-7.0630005
a72x-172.8,72,-172.8,-8.1492004,-7.1639984
a75.6x-172.8,75.6,-172.8,-7.875502,-7.2519958
a79.2x-172.8,79.2,-172.8,-7.6015976,-7.3319977
a82.8x-172.8,82.8,-172.8,-7.325,-7.4040039
a86.4x-172.8,86.4,-172.8,-7.0438019,-7.4679993
a90x-172.8,90,-172.8,-6.7594986,-7.523999
a93.6x-172.8,93.6,-172.8,-6.4780029,-7.5669983
a97.2x-172.8,97.2,-172.8,-6.1970032,-7.6000031
a100.8x-172.8,100.8,-172.8,-5.911998,-7.622998
a104.4x-172.8,104.4,-172.8,-5.6279999,-7.6370056
a108x-172.8,108,-172.8,-5.3479996,-7.6399963
a111.6x-172.8,111.6,-172.8,-5.0719971,-7.6329926
a115.2x-172.8,115.2,-172.8,-4.7960022,-7.6190002
a118.8x-172.8,118.8,-172.8,-4.5190002,-7.5940063
a122.4x-172.8,122.4,-172.8,-4.2470032,-7.5619934
a126x-172.8,126,-172.8,-3.9839935,-7.5200012
a129.6x-172.8,129.6,-172.8,-3.722998,-7.4719971
a133.2x-172.8,133.2,-172.8,-3.4640015,-7.4130066
a136.8x-172.8,136.8,-172.8,-3.2140076,-7.3440063
a140.4x-172.8,140.4,-172.8,-2.9699951,-7.2689941
a144x-172.8,144,-172.8,-2.7319946,-7.1910065
a147.6x-172.8,147.6,-172.8,-2.502005,-7.1119965
a151.2x-172.8,151.2,-172.8,-2.2799957,-7.023999
a154.8x-172.8,154.8,-172.8,-2.0630066,-6.9269989
a158.4x-172.8,158.4,-172.8,-1.853006,-6.826001
a162x-172.8,162,-172.8,-1.6589966,-6.723996
a165.6x-172.8,165.6,-172.8,-1.4740051,-6.6209991
a169.2x-172.8,169.2,-172.8,-1.2889984,-6.5129974
a172.8x-172.8,172.8,-172.8,-1.1129944,-6.4029968
a176.4x-172.8,176.4,-172.8,-0.9580017,-6.2940033
a-180x-169.2,-180,-169.2,-7.6029968,4.1959961
a-176.4x-169.2,-176.4,-169.2,-7.8080048,4.1650055
a-172.8x-169.2,-172.8,-169.2,-8.0109985,4.1289948
a-169.2x-169.2,-169.2,-169.2,-8.2130005,4.0879944
a-165.6x-169.2,-165.6,-169.2,-8.4119965,4.0400055
a-162x-169.2,-162,-169.2,-8.6109924,3.9860046
a-158.4x-169.2,-158.4,-169.2,-8.8080048,3.9269989
a-154.8x-169.2,-154.8,-169.2,-9.0030029,3.8679932
a-151.2x-169.2,-151.2,-169.2,-9.1949951,3.7949951
a-147.6x-169.2,-147.6,-169.2,-9.3839966,3.7190063
a-144x-169.2,-144,-169.2,-9.5690002,3.6419952
a-140.4x-169.2,-140.4,-169.2,-9.7549957,3.5610016
a-136.8x-169.2,-136.8,-169.2,-9.937001,3.4730042
a-133.2x-169.2,-133.2,-169.2,-10.1150009,3.3740051
a-129.6x-169.2,-129.6,-169.2,-10.289003,3.2750061
a-126x-169.2,-126,-169.2,-10.4589996,3.1919983
a-122.4x-169.2,-122.4,-169.2,-10.6279968,3.145993
a-118.8x-169.2,-118.8,-169.2,-10.8250015,3.0189941
a-115.2x-169.2,-115.2,-169.2,-10.9919998,2.829007
a-111.6x-169.2,-111.6,-169.2,-11.1459976,2.6789978
a-108x-169.2,-108,-169.2,-11.2974014,2.5389984
a-104.4x-169.2,-104.4,-169.2,-11.4440979,2.3919952
a-100.8x-169.2,-100.8,-169.2,-11.586499,2.2530029
a-97.2x-169.2,-97.2,-169.2,-11.7242996,2.098996
a-93.6x-169.2,-93.6,-169.2,-11.8572021,1.9390076
a-90x-169.2,-90,-169.2,-11.9820023,1.7889984
a-86.4x-169.2,-86.4,-169.2,-12.1072983,1.5769928
a-82.8x-169.2,-82.8,-169.2,-12.2243011,1.395993
a-79.2x-169.2,-79.2,-169.2,-12.3368027,1.2369965
a-75.6x-169.2,-75.6,-169.2,-12.4400993,1.0590027
a-72x-169.2,-72,-169.2,-12.5369987,0.8700073
a-68.4x-169.2,-68.4,-169.2,-12.6249985,0.675
a-64.8x-169.2,-64.8,-169.2,-12.706601,0.4750031
a-61.2x-169.2,-61.2,-169.2,-12.7821991,0.2669952
a-57.6x-169.2,-57.6,-169.2,-12.8491989,0.0510071
a-54x-169.2,-54,-169.2,-12.9068985,-0.1660034
a-50.4x-169.2,-50.4,-169.2,-12.9541,-0.3829987
a-46.8x-169.2,-46.8,-169.2,-12.9926003,-0.6140015
a-43.2x-169.2,-43.2,-169.2,-13.0232994,-0.8430054
a-39.6x-169.2,-39.6,-169.2,-13.0426994,-1.071994
a-36x-169.2,-36,-169.2,-13.0484009,-1.3139984
a-32.4x-169.2,-32.4,-169.2,-13.0469002,-1.5560028
a-28.8x-169.2,-28.8,-169.2,-13.0327995,-1.8029968
a-25.2x-169.2,-25.2,-169.2,-13.0070002,-2.0569946
a-21.6x-169.2,-21.6,-169.2,-12.9693104,-2.3040039
a-18x-169.2,-18,-169.2,-12.92063,-2.5540039
a-14.4x-169.2,-14.4,-169.2,-12.85974,-2.8049957
a-10.8x-169.2,-10.8,-169.2,-12.78592,-3.0560028
a-7.2x-169.2,-7.2,-169.2,-12.7008898,-3.3040039
a-3.6x-169.2,-3.6,-169.2,-12.6035496,-3.552005
a0x-169.2,0,-169.2,-12.4947004,-3.802005
a3.6x-169.2,3.6,-169.2,-12.3727001,-4.0439941
a7.2x-169.2,7.2,-169.2,-12.2393997,-4.2749969
a10.8x-169.2,10.8,-169.2,-12.0945999,-4.5049927
a14.4x-169.2,14.4,-169.2,-11.9404999,-4.7359955
a18x-169.2,18,-169.2,-11.7740002,-4.9610016
a21.6x-169.2,21.6,-169.2,-11.5964989,-5.1790039
a25.2x-169.2,25.2,-169.2,-11.4095009,-5.3900024
a28.8x-169.2,28.8,-169.2,-11.2144005,-5.597995
a32.4x-169.2,32.4,-169.2,-11.0081993,-5.8000061
a36x-169.2,36,-169.2,-10.7921982,-5.9949982
a39.6x-169.2,39.6,-169.2,-10.5691017,-6.1790039
a43.2x-169.2,43.2,-169.2,-10.3373993,-6.351001
a46.8x-169.2,46.8,-169.2,-10.0974991,-6.5179932
a50.4x-169.2,50.4,-169.2,-9.8518997,-6.6790039
a54x-169.2,54,-169.2,-9.5993004,-6.8300049
a57.6x-169.2,57.6,-169.2,-9.3394989,-6.9740021
a61.2x-169.2,61.2,-169.2,-9.0753983,-7.1060059
a64.8x-169.2,64.8,-169.2,-8.8072998,-7.2269928
a68.4x-169.2,68.4,-169.2,-8.5315033,-7.3399994
a72x-169.2,72,-169.2,-8.251297,-7.4449951
a75.6x-169.2,75.6,-169.2,-7.9686035,-7.5379974
a79.2x-169.2,79.2,-169.2,-7.6848038,-7.6219971
a82.8x-169.2,82.8,-169.2,-7.397998,-7.6940033
a86.4x-169.2,86.4,-169.2,-7.1066986,-7.7579987
a90x-169.2,90,-169.2,-6.8126984,-7.8139984
a93.6x-169.2,93.6,-169.2,-6.5210022,-7.8580048
a97.2x-169.2,97.2,-169.2,-6.2300003,-7.8920013
a100.8x-169.2,100.8,-169.2,-5.9340012,-7.9160034
a104.4x-169.2,104.4,-169.2,-5.6400009,-7.9299957
a108x-169.2,108,-169.2,-5.3499985,-7.9290039
a111.6x-169.2,111.6,-169.2,-5.0650009,-7.9189941
a115.2x-169.2,115.2,-169.2,-4.7800034,-7.9019958
a118.8x-169.2,118.8,-169.2,-4.4939987,-7.8750031
a122.4x-169.2,122.4,-169.2,-4.212999,-7.8380005
a126x-169.2,126,-169.2,-3.9409943,-7.7890045
a129.6x-169.2,129.6,-169.2,-3.6709961,-7.7359955
a133.2x-169.2,133.2,-169.2,-3.4040039,-7.670993
a136.8x-169.2,136.8,-169.2,-3.1470062,-7.5970032
a140.4x-169.2,140.4,-169.2,-2.8960052,-7.5139954
a144x-169.2,144,-169.2,-2.6519928,-7.4279968
a147.6x-169.2,147.6,-169.2,-2.4160065,-7.3380005
a151.2x-169.2,151.2,-169.2,-2.1890076,-7.2399933
a154.8x-169.2,154.8,-169.2,-1.9669983,-7.1320068
a158.4x-169.2,158.4,-169.2,-1.754007,-7.0220062
a162x-169.2,162,-169.2,-1.5559998,-6.9109985
a165.6x-169.2,165.6,-169.2,-1.3669952,-6.7980072
a169.2x-169.2,169.2,-169.2,-1.1800049,-6.6819946
a172.8x-169.2,172.8,-169.2,-1.0029938,-6.5630066
a176.4x-169.2,176.4,-169.2,-0.8489929,-6.4420044
a-180x-165.6,-180,-165.6,-7.6360016,4.4039978
a-176.4x-165.6,-176.4,-165.6,-7.8470062,4.3680023
a-172.8x-165.6,-172.8,-165.6,-8.0550049,4.3320068
a-169.2x-165.6,-169.2,-165.6,-8.2630035,4.2899994
a-165.6x-165.6,-165.6,-165.6,-8.4690033,4.2399963
a-162x-165.6,-162,-165.6,-8.6730042,4.1859955
a-158.4x-165.6,-158.4,-165.6,-8.8750061,4.1259979
a-154.8x-165.6,-154.8,-165.6,-9.0769928,4.0589966
a-151.2x-165.6,-151.2,-165.6,-9.2749969,3.9879974
a-147.6x-165.6,-147.6,-165.6,-9.4679962,3.9130005
a-144x-165.6,-144,-165.6,-9.6600037,3.8309998
