FID,index,x,y,dx,dy,,
161,a39.6x-176.4,39.6,-176.4,49.8119011,-170.6710052,-10.2119011,-5.7289948
162,a43.2x-176.4,43.2,-176.4,53.1949997,-170.5059967,-9.9949997,-5.8940033
163,a46.8x-176.4,46.8,-176.4,56.5724983,-170.3500061,-9.7724983,-6.0499939
164,a50.4x-176.4,50.4,-176.4,59.9449997,-170.2030029,-9.5449997,-6.1969971
165,a54x-176.4,54,-176.4,63.3087006,-170.0670013,-9.3087006,-6.3329987
166,a57.6x-176.4,57.6,-176.4,66.6648026,-169.9429932,-9.0648026,-6.4570068
167,a61.2x-176.4,61.2,-176.4,70.0186996,-169.8240051,-8.8186996,-6.5759949
168,a64.8x-176.4,64.8,-176.4,73.3688965,-169.7089996,-8.5688965,-6.6910004
169,a68.4x-176.4,68.4,-176.4,76.7132034,-169.602005,-8.3132034,-6.797995
170,a72x-176.4,72,-176.4,80.0513992,-169.5050049,-8.0513992,-6.8949951
171,a75.6x-176.4,75.6,-176.4,83.387001,-169.4199982,-7.787001,-6.9800018
172,a79.2x-176.4,79.2,-176.4,86.7222977,-169.3419952,-7.5222977,-7.0580048
173,a82.8x-176.4,82.8,-176.4,90.0546036,-169.272995,-7.2546036,-7.127005
174,a86.4x-176.4,86.4,-176.4,93.3822021,-169.2129974,-6.9822021,-7.1870026
175,a90x-176.4,90,-176.4,96.7072983,-169.1620026,-6.7072983,-7.2379974
176,a93.6x-176.4,93.6,-176.4,100.0360031,-169.1210022,-6.4360031,-7.2789978
177,a97.2x-176.4,97.2,-176.4,103.3639984,-169.0890045,-6.1639984,-7.3109955
178,a100.8x-176.4,100.8,-176.4,106.689003,-169.0670013,-5.889003,-7.3329987
179,a104.4x-176.4,104.4,-176.4,110.0139999,-169.0529938,-5.6139999,-7.3470062
180,a108x-176.4,108,-176.4,113.3430023,-169.0469971,-5.3430023,-7.3530029
181,a111.6x-176.4,111.6,-176.4,116.6760025,-169.0500031,-5.0760025,-7.3499969
182,a115.2x-176.4,115.2,-176.4,120.0090027,-169.0619965,-4.8090027,-7.3380035
183,a118.8x-176.4,118.8,-176.4,123.3410034,-169.0839996,-4.5410034,-7.3160004
184,a122.4x-176.4,122.4,-176.4,126.677002,-169.1130066,-4.277002,-7.2869934
185,a126x-176.4,126,-176.4,130.0220032,-169.147995,-4.0220032,-7.252005
186,a129.6x-176.4,129.6,-176.4,133.3699951,-169.1929932,-3.7699951,-7.2070068
187,a133.2x-176.4,133.2,-176.4,136.7180023,-169.2440033,-3.5180023,-7.1559967
188,a136.8x-176.4,136.8,-176.4,140.0740051,-169.3029938,-3.2740051,-7.0970062
189,a140.4x-176.4,140.4,-176.4,143.4369965,-169.3679962,-3.0369965,-7.0320038
190,a144x-176.4,144,-176.4,146.8040009,-169.4380035,-2.8040009,-6.9619965
191,a147.6x-176.4,147.6,-176.4,150.1799927,-169.5149994,-2.5799927,-6.8850006
192,a151.2x-176.4,151.2,-176.4,153.5619965,-169.595993,-2.3619965,-6.804007
193,a154.8x-176.4,154.8,-176.4,156.9490051,-169.6799927,-2.1490051,-6.7200073
194,a158.4x-176.4,158.4,-176.4,160.3430023,-169.7689972,-1.9430023,-6.6310028
195,a162x-176.4,162,-176.4,163.753006,-169.8630066,-1.753006,-6.5369934
196,a165.6x-176.4,165.6,-176.4,167.1710052,-169.9579926,-1.5710052,-6.4420074
197,a169.2x-176.4,169.2,-176.4,170.5879974,-170.0549927,-1.3879974,-6.3450073
198,a172.8x-176.4,172.8,-176.4,174.0110016,-170.1519928,-1.2110016,-6.2480072
199,a176.4x-176.4,176.4,-176.4,177.4550018,-170.2480011,-1.0550018,-6.1519989
200,a-180x-172.8,-180,-172.8,-172.4290009,-176.7870026,-7.5709991,3.9870026
201,a-176.4x-172.8,-176.4,-172.8,-168.6289978,-176.7610016,-7.7710022,3.9610016
202,a-172.8x-172.8,-172.8,-172.8,-164.8309937,-176.727005,-7.9690063,3.927005
203,a-169.2x-172.8,-169.2,-172.8,-161.0350037,-176.6860046,-8.1649963,3.8860046
204,a-165.6x-172.8,-165.6,-172.8,-157.2420044,-176.6410065,-8.3579956,3.8410065
205,a-162x-172.8,-162,-172.8,-153.447998,-176.5879974,-8.552002,3.7879974
206,a-158.4x-172.8,-158.4,-172.8,-149.6560059,-176.5319977,-8.7439941,3.7319977
207,a-154.8x-172.8,-154.8,-172.8,-145.8670044,-176.4730072,-8.9329956,3.6730072
208,a-151.2x-172.8,-151.2,-172.8,-142.0809937,-176.404007,-9.1190063,3.604007
209,a-147.6x-172.8,-147.6,-172.8,-138.2980042,-176.3289948,-9.3019958,3.5289948
