FID,index,x,y,dx,dy,,
192,a151.2x-176.4,151.2,-176.4,150.4810028,-175.1929932,0.7189972,-1.2070068
193,a154.8x-176.4,154.8,-176.4,154.0679932,-175.1799927,0.7320068,-1.2200073
194,a158.4x-176.4,158.4,-176.4,157.6490021,-175.1670074,0.7509979,-1.2329926
195,a162x-176.4,162,-176.4,161.2230072,-175.1529999,0.7769928,-1.2470001
196,a165.6x-176.4,165.6,-176.4,164.8059998,-175.1380005,0.7940002,-1.2619995
197,a169.2x-176.4,169.2,-176.4,168.3970032,-175.1230011,0.8029968,-1.2769989
198,a172.8x-176.4,172.8,-176.4,171.9859924,-175.1069946,0.8140076,-1.2930054
199,a176.4x-176.4,176.4,-176.4,175.5670013,-175.0899963,0.8329987,-1.3100037
200,a-180x-172.8,-180,-172.8,-178.701004,-171.4929962,-1.298996,-1.3070038
201,a-176.4x-172.8,-176.4,-172.8,-175.1239929,-171.5090027,-1.2760071,-1.2909973
202,a-172.8x-172.8,-172.8,-172.8,-171.5429993,-171.5249939,-1.2570007,-1.2750061
203,a-169.2x-172.8,-169.2,-172.8,-167.9539948,-171.5399933,-1.2460052,-1.2600067
204,a-165.6x-172.8,-165.6,-172.8,-164.3699951,-171.5549927,-1.2300049,-1.2450073
205,a-162x-172.8,-162,-172.8,-160.7960052,-171.5690002,-1.2039948,-1.2309998
206,a-158.4x-172.8,-158.4,-172.8,-157.2220001,-171.5820007,-1.1779999,-1.2179993
207,a-154.8x-172.8,-154.8,-172.8,-153.6410065,-171.5950012,-1.1589935,-1.2049988
208,a-151.2x-172.8,-151.2,-172.8,-150.0549927,-171.6069946,-1.1450073,-1.1930054
209,a-147.6x-172.8,-147.6,-172.8,-146.4759979,-171.6179962,-1.1240021,-1.1820038
210,a-144x-172.8,-144,-172.8,-142.9049988,-171.6300049,-1.0950012,-1.1699951
211,a-140.4x-172.8,-140.4,-172.8,-139.3309937,-171.6399994,-1.0690063,-1.1600006
212,a-136.8x-172.8,-136.8,-172.8,-135.7460022,-171.6499939,-1.0539978,-1.1500061
213,a-133.2x-172.8,-133.2,-172.8,-132.1620026,-171.6600037,-1.0379974,-1.1399963
214,a-129.6x-172.8,-129.6,-172.8,-128.5870056,-171.6690063,-1.0129944,-1.1309937
215,a-126x-172.8,-126,-172.8,-125.0139999,-171.677002,-0.9860001,-1.122998
216,a-122.4x-172.8,-122.4,-172.8,-121.4339981,-171.6849976,-0.9660019,-1.1150024
217,a-118.8x-172.8,-118.8,-172.8,-117.8509979,-171.6929932,-0.9490021,-1.1070068
218,a-115.2x-172.8,-115.2,-172.8,-114.2710037,-171.6999969,-0.9289963,-1.1000031
219,a-111.6x-172.8,-111.6,-172.8,-110.6969986,-171.7079926,-0.9030014,-1.0920074
220,a-108x-172.8,-108,-172.8,-107.1220016,-171.7149963,-0.8779984,-1.0850037
221,a-104.4x-172.8,-104.4,-172.8,-103.5410004,-171.7220001,-0.8589996,-1.0779999
222,a-100.8x-172.8,-100.8,-172.8,-99.9589005,-171.7279968,-0.8410995,-1.0720032
223,a-97.2x-172.8,-97.2,-172.8,-96.3834991,-171.7339935,-0.8165009,-1.0660065
224,a-93.6x-172.8,-93.6,-172.8,-92.8102036,-171.7380066,-0.7897964,-1.0619934
225,a-90x-172.8,-90,-172.8,-89.2334976,-171.7440033,-0.7665024,-1.0559967
226,a-86.4x-172.8,-86.4,-172.8,-85.6520996,-171.75,-0.7479004,-1.05
227,a-82.8x-172.8,-82.8,-172.8,-82.0719986,-171.7559967,-0.7280014,-1.0440033
228,a-79.2x-172.8,-79.2,-172.8,-78.4972992,-171.7599945,-0.7027008,-1.0400055
229,a-75.6x-172.8,-75.6,-172.8,-74.9225006,-171.7630005,-0.6774994,-1.0369995
230,a-72x-172.8,-72,-172.8,-71.3431015,-171.7680054,-0.6568985,-1.0319946
231,a-68.4x-172.8,-68.4,-172.8,-67.7629013,-171.7720032,-0.6370987,-1.0279968
232,a-64.8x-172.8,-64.8,-172.8,-64.1856003,-171.7749939,-0.6143997,-1.0250061
233,a-61.2x-172.8,-61.2,-172.8,-60.6105003,-171.779007,-0.5894997,-1.020993
234,a-57.6x-172.8,-57.6,-172.8,-57.0335999,-171.7819977,-0.5664001,-1.0180023
235,a-54x-172.8,-54,-172.8,-53.4538994,-171.7850037,-0.5461006,-1.0149963
236,a-50.4x-172.8,-50.4,-172.8,-49.875,-171.7879944,-0.525,-1.0120056
